Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Performance
NVIDIA GeForce GTX 470M,GPU,2010,40.0,75.0,332.0,1950.0,535,TSMC,NVIDIA,616.3,51.36,Medium
Intel GMA,GPU,2010,32.0,81.0,188.0,1930.0,533,Intel,Intel,2135.0,364.0,Medium
Intel HD Graphics,GPU,2010,45.0,35.0,114.0,177.0,533,Intel,Intel,102.3,364.0,Medium
NVIDIA GeForce 305M,GPU,2010,40.0,14.0,57.0,260.0,525,TSMC,NVIDIA,36.8,364.0,Medium
AMD Radeon HD 6250 IGP,GPU,2010,40.0,9.0,75.0,450.0,500,TSMC,AMD,80.0,364.0,Medium
AMD Radeon HD 6330M,GPU,2010,40.0,7.0,59.0,292.0,500,TSMC,AMD,80.0,364.0,Medium
AMD Radeon HD 6350M,GPU,2010,40.0,7.0,59.0,292.0,500,TSMC,AMD,80.0,364.0,Medium
NVIDIA GeForce GT 320M,GPU,2010,40.0,23.0,100.0,486.0,500,TSMC,NVIDIA,52.8,364.0,Medium
NVIDIA GeForce GT 330 OEM,GPU,2010,55.0,75.0,260.0,754.0,500,TSMC,NVIDIA,240.0,364.0,Medium
ATI Mobility Radeon HD 5830,GPU,2010,40.0,24.0,166.0,1040.0,500,TSMC,ATI,800.0,364.0,Medium
ATI Xbox 360 S GPU,GPU,2010,45.0,133.0,168.0,372.0,500,TSMC,ATI,240.0,364.0,Medium
ATI Radeon HD 4290 IGP,GPU,2010,55.0,81.0,67.0,181.0,500,Unknown,ATI,40.0,364.0,Medium
AMD FirePro RG220A,GPU,2010,55.0,35.0,73.0,242.0,500,TSMC,AMD,80.0,364.0,Medium
NVIDIA GeForce GT 330M Mac Edition,GPU,2010,40.0,23.0,100.0,486.0,500,TSMC,NVIDIA,105.6,364.0,Medium
ATI Mobility Radeon HD 530v,GPU,2010,55.0,10.0,73.0,242.0,500,TSMC,ATI,80.0,364.0,Medium
ATI FirePro 2460 Multi-View,GPU,2010,40.0,17.0,59.0,292.0,500,TSMC,ATI,80.0,364.0,Medium
NVIDIA GeForce GT 330 OEM,GPU,2010,65.0,75.0,324.0,754.0,500,TSMC,NVIDIA,240.0,364.0,Medium
ATI Mobility Radeon HD 4250 IGP,GPU,2010,55.0,81.0,67.0,181.0,500,Unknown,ATI,44.8,364.0,Medium
NVIDIA GeForce GT 420M,GPU,2010,40.0,23.0,116.0,585.0,500,TSMC,NVIDIA,192.0,16.0,Medium
NVIDIA GeForce GTS 350M,GPU,2010,40.0,28.0,144.0,727.0,500,TSMC,NVIDIA,240.0,364.0,Medium
ATI Mobility Radeon HD 5430,GPU,2010,40.0,7.0,59.0,292.0,500,TSMC,ATI,80.0,364.0,Medium
ATI Mobility Radeon HD 5850,GPU,2010,40.0,30.0,166.0,1040.0,500,TSMC,ATI,800.0,364.0,Medium
AMD Radeon HD 6310 IGP,GPU,2010,40.0,18.0,75.0,450.0,488,TSMC,AMD,78.08,364.0,Low
NVIDIA GeForce 405 OEM,GPU,2010,40.0,25.0,100.0,486.0,475,TSMC,NVIDIA,52.8,364.0,Low
NVIDIA GeForce 405 OEM,GPU,2010,40.0,25.0,100.0,486.0,475,TSMC,NVIDIA,105.6,364.0,Low
NVIDIA Quadro 4000,GPU,2010,40.0,142.0,529.0,3100.0,475,TSMC,NVIDIA,486.4,243.2,Low
NVIDIA GeForce 315 OEM,GPU,2010,40.0,33.0,100.0,486.0,475,TSMC,NVIDIA,105.6,364.0,Low
NVIDIA GeForce 320M Mac Edition,GPU,2010,40.0,23.0,100.0,486.0,450,Unknown,NVIDIA,91.2,364.0,Low
AMD Radeon HD 6530M,GPU,2010,40.0,26.0,104.0,627.0,450,TSMC,AMD,360.0,364.0,Low
ATI Mobility Radeon HD 550v,GPU,2010,55.0,10.0,146.0,514.0,450,TSMC,ATI,288.0,364.0,Low
NVIDIA GeForce 320M,GPU,2010,40.0,23.0,100.0,486.0,450,Unknown,NVIDIA,91.2,364.0,Low
NVIDIA GeForce GT 325M,GPU,2010,40.0,23.0,100.0,486.0,450,TSMC,NVIDIA,95.04,364.0,Low
NVIDIA GeForce GT 335M,GPU,2010,40.0,28.0,144.0,727.0,450,TSMC,NVIDIA,155.5,364.0,Low
ATI Mobility Radeon HD 5650,GPU,2010,40.0,15.0,104.0,627.0,450,TSMC,ATI,360.0,364.0,Low
NVIDIA GeForce GTX 480M,GPU,2010,40.0,100.0,529.0,3100.0,425,TSMC,NVIDIA,598.4,74.8,Low
NVIDIA Quadro 5000M,GPU,2010,40.0,100.0,529.0,3100.0,405,TSMC,NVIDIA,518.4,364.0,Low
ATI Mobility Radeon HD 4225 IGP,GPU,2010,55.0,9.0,67.0,181.0,380,Unknown,ATI,30.4,364.0,Low
NVIDIA Tegra 2 GPU,GPU,2010,40.0,20.0,188.0,1930.0,300,TSMC,NVIDIA,2135.0,364.0,Low
AMD Radeon HD 6310 IGP,GPU,2010,40.0,18.0,75.0,450.0,276,TSMC,AMD,44.16,364.0,Low
AMD Phenom II X4 965 BE (140W),CPU,2009,45.0,140.0,258.0,758.0,3400,Unknown,AMD,2135.0,364.0,High
AMD Phenom II X4 965 BE (125W),CPU,2009,45.0,125.0,258.0,758.0,3400,Unknown,AMD,2135.0,364.0,High
Intel Xeon W5590,CPU,2009,45.0,130.0,263.0,731.0,3333,Intel,Intel,2135.0,364.0,High
Intel Core i7-975,CPU,2009,45.0,130.0,263.0,731.0,3333,Intel,Intel,2135.0,364.0,High
Intel Xeon W3580,CPU,2009,45.0,130.0,263.0,731.0,3333,Intel,Intel,2135.0,364.0,High
Intel Xeon W5580,CPU,2009,45.0,130.0,263.0,731.0,3200,Intel,Intel,2135.0,364.0,High
AMD Phenom II X4 955 BE,CPU,2009,45.0,125.0,258.0,758.0,3200,Unknown,AMD,2135.0,364.0,High
